group;question;answer;answer_type;document_id;sentence_with_answer
anwki;While Eisenhower was president of Columbia, what group did he also work with?;Council on Foreign Relations;ENTY:other;8182;"""Eisenhower's stint as the president of Columbia University was punctuated by his activity within the Council on Foreign Relations, a study group he led as president concerning the political and military implications of the Marshall Plan, and The American Assembly, Eisenhower's """"vision of a great cultural center where business, professional and governmental leaders could meet from time to time to discuss and reach conclusions concerning problems of a social and political nature""""."""
anwki;Where are the headquarters of the US company Match Analysis located?;Emeryville, California;LOC:city;49167470;Match Analysis is a US company with headquarters in Emeryville, California.
TheRiddle;When was Ivor Norman Richard Davies born?;8 June 1939;NUM:date;879611;Ivor Norman Richard Davies CMG FBA FRHistS (born 8 June 1939) is a British-Polish historian noted for his publications on the history of Europe, Poland and the United Kingdom.
burkert-henschel;Where did the The Great Exhibition take place?;London;LOC:city;103293;The Great Exhibition of the Works of Industry of All Nations or The Great Exhibition, sometimes referred to as the Crystal Palace Exhibition in reference to the temporary structure in which it was held, was an international exhibition that took place in Hyde Park, London, from 1 May to 11 October 1851. 
anwki;Where did Beyoncé get pregnant?;Paris.;LOC:city;83688;In April 2011, Beyoncé and Jay Z traveled to Paris in order to shoot the album cover for her 4, and unexpectedly became pregnant in Paris.
anwki;In wich year was nevis sighted by Columbus?;1493;NUM:count;21503;Nevis was first sighted by Columbus in 1493 an island settled for more than two thousand years by Amerindian people.
mi-ler;Where is Sundog based in?;Fargo;LOC:city;35659610;Sundog is a marketing and technology company based in Fargo, North Dakota with offices in Denver, Colorado and Minneapolis, Minnesota.
anwki;When was Atlantic City incorporated?;May 1, 1854;NUM:date;106211;It is on Absecon Island, on the Atlantic coast. Atlantic City was incorporated on May 1, 1854.
anwki;In which city was The Government of South Russia eastablished?;Sevastopol;LOC:city;29429597;The Government of South Russia (Russian: Правительство Юга России Pravitel'stvo Yuga Rossii) was a White movement government established in Sevastopol, Crimea in April 1920
weigelt-greffin;When did the Siege of Kolberg end?;02 July 1807;NUM:date;20460837;The Siege of Kolberg ((also known as: Siege of Colberg or Siege of Kołobrzeg) took place from March to 2 July 1807 during the War of the Fourth Coalition, part of the Napoleonic Wars.
anwki;With how many nations does Burkina Faso share its broders?;6;NUM:count;3677;Burkina Faso (formerly Upper Volta) is a landlocked Sahel country that shares borders with 6 nations.
hallou-schmidt;When was Blanke National Park established;2010;NUM:date;28181585;"""Banke National Park is located in the Mid-Western Region, Nepal and was established in 2010 as Nepals tenth national park after its recognition as a """"Gift to the Earth"""". """
Suphawit-Noah;With whom formed Gaius Julius Caesar 60 BC a political alliance;Pompey;HUM:ind;15924;In 60 BC, Caesar, Crassus, and Pompey formed a political alliance that dominated Roman politics for several years.
anwki;Where was James Watt born?;Great Britain;LOC:country;16142;James Watt was a Scottish inventor  mechanical engineer  and chemist who improved on Thomas Newcomen's 1712 Newcomen steam engine with his Watt steam engine in 1781  which was fundamental to the changes brought by the Industrial Revolution in both his native Great Britain and the rest of the world.
anwki;Who proclaimed The Kruševo Republic;the Secret Macedonian-Adrianople Revolutionary Organization (IMARO);HUM:gr;1041707;The Kruševo Republic was a short-lived political entity proclaimed in 1903 by rebels from the Secret Macedonian-Adrianople Revolutionary Organization (IMARO) in Kruševo during the Ilinden–Preobrazhenie Uprising.
anwki;Who was in Greek mythology the father of Pittheus?;Pelops;HUM:ind;82810;In Greek mythology, Pittheus /ˈpɪθˌjuːs/ (Ancient Greek: Πιτθεύς) was a son of Pelops, father of Aethra and Henioche, and grandfather of Theseus.
anwki;When did the Battle of the Trent happen?;679;NUM:date;26738520;The Battle of the Trent was a battle fought at an unspecified site near the River Trent within the Kingdom of Lindsey (today part of England), in 679.
anwki;What is the only story of the original series where Doctor Who travels alone?;The Deadly Assassin;ENTY:cremat;8209;The only story from the original series in which the Doctor travels alone is The Deadly Assassin.
TheRiddle;When did Anderson Ruffin Abbott die?;29 December 1913;NUM:date;1869660;Anderson Ruffin Abbott, M.D. (7 April 1837 \u2013 29 December 1913) was the first Black Canadian to be a licensed physician.
Suphawit-Noah;Who is Mehmet Tahsini?;Albanian politician;HUM:ind;28382311;Mehmet Tahsini (1864-?) was an Albanian politician, active in the Ottoman Empire and Albania.
anwki;When was the Old Testament translated into Greek?;3rd century BCE;NUM:date;18630637;One of the first recorded instances of translation in the West was the rendering of the Old Testament into Greek in the 3rd century BCE.
mi-ler;Who was Joseph E. Persico married to?;Sylvia LaVista Persico;HUM:ind;20052076;He was married to Sylvia LaVista Persico and they had two daughters.
anwki;When was Cindy Adams born?;April 24, 1930;NUM:date;20411372;"""Cynthia """"Cindy"""" Adams (née Sugar. later Heller. born April 24, 1930) is an American gossip columnist and writer"""
linear_aggression;When did Heinrich Franz Gaudenz die?;15 January 1900;NUM:date;41886166;Heinrich Franz Gaudenz von Rustige (12 April 1810, Werl - 15 January 1900, Stuttgart) was a German painter specializing in historical subjects and genres.\n\n\n== Life and work ==\nBeginning in 1828, he was a student of Wilhelm von Schadow at the Kunstakademie D\u00fcsseldorf. In 1836, he moved to Frankfurt, where he became a teacher at the St\u00e4del Institute.
anwki;In what year did Pope Paul VI close the Second Vatican Counsel?;1965;NUM:date;24028;Succeeding Pope John XXIII, he continued the Second Vatican Council which he closed in 1965, implementing its numerous reforms, and fostered improved ecumenical relations with Eastern Orthodox and Protestants, which resulted in many historic meetings and agreements.
klemenstomki;Where is Panaquire?;Venezuela;LOC:country;11731712;Panaquire is a town in the state of Miranda, Venezuela.
klemenstomki;Whene was Walter Johannes Stein born?;06.02.1891;NUM:date;1904171;Walter Johannes Stein (6 February 1891, in Vienna – 7 July 1957, in London) was an Austrian philosopher, Waldorf school teacher, Grail researcher, and one of the pioneers of anthroposophy.
anwki;How many marriages does the Pallot's Marriage Index include?;1.5 million;NUM:count;12240633;Pallot's Marriage Index includes more than 1.5 million marriages in England (three million people) which took place between 1780 and the commencement of civil registration on 1 July 1837
anwki;Who conceived the musical The A-Z of Mrs P?;Neil Marcus;HUM:ind;43723340;The A–Z of Mrs P is a musical conceived by Neil Marcus and written by British playwright Diane Samuels and British composer Gwyneth Herbert.
anwki;The Riona or Rion River is a river in which country?;Georgia;LOC:country;1030756;The Rioni or Rion River is the main river of western Georgia.
anwki;What mode of transport is encouraged in Central Tuscon?;bicycle;ENTY:other;57180;Central Tucson is bicycle-friendly.
TheRiddle;What is a cable protection system?;a system used for the protection of subsea power cables;ENTY:other;53496177;A cable protection system, or CPS, is a system used for the protection of subsea power cables against various factors that negatively impact on the cable lifetime, normally used when entering an offshore structure.
anwki;Where is Jabal al Huwaybit?;Fujairah;LOC:country;16488923;Jabal al Huwaybit is a mountain in Fujairah.
anwki;Until what year did the words near east and far east not refer to any particular region? ;1855;NUM:date;214632;Until about 1855 the words near east and far east did not refer to any particular region.
anwki;Who published the Matthew Bible?;John Rogers;HUM:ind;159780;The Matthew Bible, also known as Matthew's Version, was first published in 1537 by John Rogers, under the pseudonym 'Thomas Matthew'.
klemenstomki;On which island is Areora?;island of Mauke in the Cook islands;LOC:other;19533926;Areora is one of four traditional districts on the island of Mauke in the Cook islands.
anwki;Which country borders Guatemala to the northwest?;El Salvador;LOC:country;9358;El Salvador borders the North Pacific Ocean to the south and southwest, with Guatemala to the north-northwest and Honduras to the north-northeast. In the southeast, the Golfo de Fonseca separates it from Nicaragua.
anwki;What in the Bronx has been compared to Broadway?;The Hub;LOC:other;3338;"""The Hub has been called """"the Broadway of the Bronx"""", being likened to the real Broadway in Manhattan and the northwestern Bronx."""
hallou-schmidt;When was Simon Jones Murphy jr. Born;March 27, 1851;NUM:date;33921321;Murphy was born Simon Jones Murphy, Jr. on March 27, 1851 in Maine.
anwki;How much percentage of the sun does Neptune get compared to Uranus?;40%;NUM:count;19003265;Although Neptune lies over 50% further from the Sun than Uranus, and receives only 40% its amount of sunlight, the two planets' surface temperatures are roughly equal.
